Department,Course Catalogue Number,Course Name,Description,Graduate/Undergraduate,Lab,Year,Keywords
African American Studies (AFAM),AFAM 4453,Black Geographies & Memorialization in the Landscape (DH),"How and why have African American people sought to memorialize their history in public places? How have Black counterpublics shaped discourse on memorials to African American history? What has this discourse done to the field of landscape and memory studies? To explore these questions, this course is organized around memory in the landscape as it relates to black geographies, including, for example, slavery, the Civil War, civil rights, and the Tulsa Race Massacre in the United States. Approaches may be comparative or transnational. Same as AMST 4453 and GEOG 4453. May not be used for degree credit with GEOG 5453.",Undergraduate,FALSE,2020-2021,['land']
Ag International (AGIN),AGIN 5000,Master's Thesis/Report in International Agriculture,"For students working on a masters degree in International Agriculture. Independent research and thesis under the direction and supervision of a major professor.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2020-2021,['agri']
Ag International (AGIN),AGIN 5113,Global Agricultural Development Communications,"Role of Information Communication Technologies in global agricultural development and the storytelling process as a communication tool for global agricultural development.



",Graduate,FALSE,2020-2021,['agri']
Ag International (AGIN),AGIN 5213,Global Agricultural Entrepreneurship,"Use of entrepreneurship principles to develop solutions to emerging and/or existing problems and challenges in global agriculture.



",Graduate,FALSE,2020-2021,['agri']
Ag International (AGIN),AGIN 5312,Applied Issues in International Agriculture and Natural Resources,"Applied global issues in international agriculture and natural resource development, including sustainability, food security, trade, project evaluation, and international agricultural institutions. Written and oral reports and discussion of selected topics. Previously offered as AG 5010.",Graduate,FALSE,2020-2021,"[' ag ', 'agri', 'food']"
Ag International (AGIN),AGIN 5313,Global Food Security and Sustainability,"Broad overview of the complexity of global food systems including key challenges to security and sustainability of agricultural production now and in the future.



",Graduate,FALSE,2020-2021,"['agri', 'food']"
Ag International (AGIN),AGIN 5333,Guided Reading in International Agriculture and Natural Resources,"Understanding of international agricultural development objectives, challenges, and solutions to the most critical problems facing the developing world's food and agricultural systems, through readings of a set of classic and contemporary books and constructing book reports.

",Graduate,FALSE,2020-2021,"['agri', 'food']"
Ag International (AGIN),AGIN 5353,Advanced Case Studies in Agricultural Marketing and International Development,"Advanced real world issues in marketing and international development of agricultural and food products. Development of an understanding of issues facing policy makers, producers, consumers, and other groups in examining the costs and benefits of various international marketing, trade and development programs. 

",Graduate,FALSE,2020-2021,"['agri', 'food']"
Ag International (AGIN),AGIN 5800,International Agriculture Internship Experience,"Students conducting an international internship experience, under the direction and supervision of a faculty member. Previously offered as AG 5100.

Offered for variable credit, 1-6 credit hours, maximum of 12 credit hours.",Graduate,FALSE,2020-2021,"[' ag ', 'agri']"
Ag International (AGIN),AGIN 5990,Advanced Studies in International Agriculture and Natural Resources,"Individual or small group study and/or research in international agriculture and natural resources.

Offered for variable credit, 1-12 credit hours, maximum of 15 credit hours.",Graduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 2113,Introduction to Agricultural Communications,Fundamentals of agricultural news writing and other communication methods. Careers in and the role of the media in agriculture and related fields.  Previously offered as AGCM 2103 and AGCM 4453.,Undergraduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 3100,Special Topics in Agricultural Communications,"Investigation of specialized and/or advanced topics and issues related to agricultural communications. Previously offered as AGCM 3101.

Offered for variable credit, 1-3 credit hours, maximum of 6 credit hours.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 3103,Written Communications in Agricultural Sciences and Natural Resources,"Understanding and application of writing principles and communications theory as related to public issues in agriculture, food and natural resources. 

",Undergraduate,FALSE,2020-2021,"['agri', 'food']"
Agricultural Communications (AGCM),AGCM 3113,Writing and Editing for Agricultural Publications,"Interviewing, reporting, writing, and editing for agricultural publications.

",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 3123,Audio and Video Storytelling in Agricultural Communications,"Exploration and application of audio and video media storytelling techniques for agricultural communicators as used in promoting, marketing and communicating about agriculture, food, natural resources and the environment.

",Undergraduate,TRUE,2020-2021,"['agri', 'food']"
Agricultural Communications (AGCM),AGCM 3203,Oral Communications in Agricultural Sciences & Natural Resources (S),"Application of oral communications skills used in the dissemination of information related to agricultural sciences and natural resources, and related topics.  Acquisition of interpersonal communications skills and small group, impromptu and professional presentation skills.

",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 3213,Layout and Design for Agricultural Publications,"Fundamentals of layout and design as applied to agricultural publications. Practical application of design principles, typography, design software and printing practices. 

",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 3223,Digital and Online Media in Agricultural Communications,"Fundamentals of using digital and online media and mass communication for agriculture and natural resources, including web, social media and email marketing. Practical application of theory and skills related to design, management and evaluation of digital and online media.

",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 3233,Basic Photography and Photo Editing for Agriculture,"Beginning course focusing on photographic equipment, related software and photo composition in an agricultural setting.

",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 3503,Issues Management and Crisis Communications in Agriculture and Natural Resources,"Theoretical perspectives and practical applications of issues management, crisis management, and crisis communications principles. Development of knowledge, skills, and abilities necessary for identifying and managing issues faced by organizations; leading organizations through crises; and communicating before, during and after crisis. 

",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 4113,Features Writing and Editing for Agricultural Publications,"Brainstorming, researching, interviewing, developing, writing and editing feature stories for agricultural publications. May not be used for degree credit with AGCM 5113.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 4203,Professional Development in Agricultural Communications,"Professional preparation and personal development for careers in agricultural communications, including business communications writing, resume and portfolio development, presentation delivery, financial planning and management, networking, and job interview skills. 

",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 4233,Agricultural Photography Tour,"Agricultural photography travel course focused on advanced composition techniques including but not limited to night photography, portraits, painting, etc. Students will be exposed to many cultural and agricultural sites from a photographic perspective. No credit for students with credit in AGCM 5233.",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 4300,Internships in Agricultural Communications,"Supervised work experience with approved employers in agricultural communications. Presentation required following the internship experience. Previously offered as AGCM 4500.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 4403,Planning Campaigns for Agriculture and Natural Resources,"Communications campaign development for agriculture and natural resources activities and issues, including development of materials, budgets and contracts.

",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 4413,Agricultural Communications Capstone,"The development of an agricultural magazine through advanced feature writing and editing, page layout, graphic design, photography, and sponsor communications as well as an understanding of the printing process. May not be used for degree credit with AGCM 4413.",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 4990,Problems in Agricultural Communications,"Small group and individual study and research in problems relating to communications within the agricultural sector and from the agricultural sector to other constituencies.

",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 5100,Special Topics in Agricultural Communications,"Investigation of specialized and/or advanced topics and issues related to agricultural communications.

Offered for variable credit, 1-3 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 5103,History and Philosophical Foundations of Agricultural Communications,"Discussion of the history, philosophical foundations and current issues regarding agricultural communications and the land-grant system.

",Graduate,FALSE,2020-2021,"['agri', 'land']"
Agricultural Communications (AGCM),AGCM 5113,Features Writing and Editing for Agricultural Publications,"Brainstorming, researching, interviewing, developing, writing and editing feature stories for agricultural publications. May not be used for degree credit with AGCM 4113.",Graduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 5132,Writing for Scholarly Publications in Agricultural Sciences and Natural Resources,"Development of scientific writing skills for agricultural sciences and natural resources disciplines, including research proposals, theses, dissertations, conference papers, and journal articles.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 5203,Theory and Practice in Agricultural Communications,"The study of major communication theories and theorists in the context of agricultural communications.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 5213,Advanced Concepts in Agricultural Publishing,"Analysis, redesign and creation of agricultural publications. Evaluation of audience, production, advertising and editorial content.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 5233,Agricultural Photography Tour,"Agricultural photography travel course focused on advanced composition techniques including but not limited to night photography, portraits, painting, etc. Students will be exposed to many cultural and agricultural sites from a photographic perspective. No credit for students with credit in AGCM 4233.",Graduate,TRUE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 5303,Communicating Ethical Issues in Agriculture,"An introduction to communicating ethical theories in the context of agriculture. Ethical theory and current research are used to critique contemporary issues in agriculture.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 5403,Public Relations Campaigns in Agricultural Sciences and Natural Resources,"Public relations campaign development for agriculture and natural resources organizations and issues, including public relations theory, strategic planning and campaign material development. No credit for students with credit in AGCM 4403.",Graduate,TRUE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 5413,Agricultural Communications Capstone,No Description,Graduate,TRUE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 5503,Risk and Crisis Communication in Agricultural Sciences and Natural Resources,"Development of risk and crisis communication skills and knowledge with special emphasis in agricultural sciences and natural resources.
",Graduate,FALSE,2020-2021,['agri']
Agricultural Communications (AGCM),AGCM 5990,Advanced Studies in Agricultural Communications,"Individual and small group study or research in agricultural communications topics and issues.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 1101,Agricultural Economics and Agribusiness Experience,"Developing connections between the student’s major curriculum, career goals specific to agricultural economics or agribusiness, and networking with other students, faculty and alumni.
",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 1113,Introduction to Agricultural Economics (S),"Economic theory of production, marketing, and consumption of agricultural products and natural resources. The role and structure of agricultural sciences and natural resources within the American economy. Policies to achieve efficiency and welfare goals in agriculture. No general education credit for students also taking ECON 1113 or ECON 2103. Previously offered as AGEC 1114.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 2303,Food Marketing to a Diverse Population (D),"Food and beverage demand and preferences of socially and ethnically constructed groups in American Society. Real life issues of marketing to a diverse population, including Native, Asian, African and Hispanic Americans, and low-income populations.
",Undergraduate,FALSE,2020-2021,['food']
Agricultural Economics (AGEC),AGEC 2313,Case Studies in Agricultural Trade and Development,"Real world issues in international trade and development of agricultural and food products. Development of an understanding of issues facing policymakers, producers, consumers, and other groups in examining the costs and benefits of various trade and development programs.

",Undergraduate,FALSE,2020-2021,"['agri', 'food']"
Agricultural Economics (AGEC),AGEC 2990,Problems in Agricultural Economics and Agribusiness,"Directed study on topics related to agricultural economics or agribusiness.

Offered for variable credit, 1-3 credit hours, maximum of 6 credit hours.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3010,Internship in Agricultural Economics,"Supervised work experience with approved public and private employers in agricultural economics, including banks, farm credit services, agriculture chemical firms, Soil Conservation Service, congressional offices and other opportunities. Credit will not substitute for required courses. Graded on a pass-fail basis.

Offered for variable credit, 1-3 credit hours, maximum of 3 credit hours.",Undergraduate,FALSE,2020-2021,"['agri', 'farm', ' soil']"
Agricultural Economics (AGEC),AGEC 3023,Farm to Fork,Survey of agriculture and natural resources and their relationships to society. Role of advanced scientific technologies in alternative systems of food production and distribution.,Undergraduate,FALSE,2020-2021,"['agri', 'farm', 'food']"
Agricultural Economics (AGEC),AGEC 3101,Professional Career Development,"Overview of the various areas of specialization within agricultural economics and agribusiness and their associated career opportunities and obligations. Development and improvement of written communication, oral communication and leadership skills. Previously offered as AGEC 4902.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3183,Agribusiness Accounting and Taxation,"Development of the ability to read, analyze, and use accounting information to improve decision-making and tax planning.  Same course as ACCT 3183.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3213,Quantitative Methods in Agricultural Economics,"Indices, graphics, budgeting, interest calculations, compounding and discounting, basic statistic measures, regression, optimization and computer applications.

",Undergraduate,TRUE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3323,Agricultural Product Marketing and Sales,Fundamentals of agricultural marketing management and planning applied to specific agricultural product (input and output) marketing problems. Institutional differences between agricultural and non-agricultural marketing environments. The role of the individual sales representative in a marketing and sales organization. Written and oral presentations of marketing and sales information required of all students. Previously offered as AGEC 4313.,Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3333,Agricultural Marketing and Price Analysis,"Supply, demand, and price determination within the institutional environment of agricultural commodity markets. Roles provided by government intervention, marketing agreements, and cooperatives in agricultural markets. Includes graphical, mathematical, and statistical analysis of commodity markets. Fundamentals of futures markets applied to agriculture. Previously offered as AGEC 3303.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3403,Agricultural Small Business Management,"The essentials of operating an agricultural small business. An introduction to the planning, organizing, marketing, managing, financing, controlling and operating an agricultural small business. Not recommended for agricultural economics or agribusiness majors. No credit for students with prior credit in 4423.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3423,Farm and Agribusiness Management,"Fundamentals of managerial functions as applied to agricultural firms. Organization and management of human, financial, and physical assets for the profitable operation of an agricultural business. An introduction to business planning, enterprise budgeting, financial statements and record keeping. Previously offered as AGEC 3413.",Undergraduate,FALSE,2020-2021,"['agri', 'farm']"
Agricultural Economics (AGEC),AGEC 3463,Agricultural Cooperatives,"An evaluation of the fundamental principles, objectives, structure, finance, and management associated with the cooperative organization. An analysis of the cooperative business organization within the modern economy: history, legislation and evolution. An examination of careers related to cooperatives. Previously offered as AGEC 3313.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3503,Natural Resource Economics,"Framework for analyzing natural resource management decisions. Applications of microeconomic theory to the management of soil, water, and other resources, with special emphasis on the institutions having an impact on management opportunities. Supply of and demand for natural resources, resource allocation over time, rights of ownership, public issues of taxation, police power and eminent domain.

",Undergraduate,FALSE,2020-2021,[' soil']
Agricultural Economics (AGEC),AGEC 3603,Agricultural Finance,"Analyze farm and agribusiness financial statements. Understand the relationship between firm growth and financial leverage. Time value of money concepts and their application to capital budgeting. Discuss how agricultural lenders acquire and use funds.

",Undergraduate,FALSE,2020-2021,"['agri', 'farm']"
Agricultural Economics (AGEC),AGEC 3703,Issues in Agricultural Policy,"Emerging issues related to agricultural policy in the United States.

",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3713,Agricultural Law,"Survey of law with emphasis on agricultural problems, applications, and strategies for managing legal risk in the agribusiness setting. Contract law, tort law, property law, real estate transactions, business organization, estate planning, debtor/creditor law, environmental law and water/resources law. Previously offered as AGEC 4413.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3803,International Agricultural Economics Tour (I),"A two-three week international travel component. An integrated approach to the cultural, agricultural, historical, technological, political, economic, and religious backgrounds of the region. Comparison of the agricultural business environment of the region to that of the U.S. Previously offered as AGEC 4803.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3810,Domestic Agricultural Economics Tour,"An integrated approach to the cultural, agricultural, historical, technological, political and economic backgrounds of an agricultural region of the United States.

Offered for variable credit, 1-3 credit hours, maximum of 3 credit hours.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 3990,Special Problems in Agricultural Economics,"Directed study of selected agricultural economics topics.

Offered for variable credit, 1-3 credit hours, maximum of 3 credit hours.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 4101,Agricultural Economics Seminar,Contemporary problems in agricultural economics. Previously offered as AGEC 4911.,Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 4213,Advanced Quantitative Methods in Agricultural Economics,Quantitative analysis of agricultural production and markets including risk and uncertainty. Introduction to simulation. Development of statistical and software skills. Written presentation of an analysis of data. Previously offered as AGEC 3203. May not be used for Degree Credit with AGEC 5013.,Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 4223,Quantitative Supply Chain Management in Agribusiness,"Challenge in food supply chain management. Tools to solve logistics problems including traveling salesperson, vehicle routing, and distribution center problems. Forecasting sales and queuing theory. Introduction to specialized software used in supply chain management. May not be used for Degree Credit with AGEC 5023.",Undergraduate,FALSE,2020-2021,"['agri', 'food']"
