Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy,key
AGHR 1303,Ag and Human Resources (AGHR), Land Grant System & Food Secur,"
This course is designed to educate students about the land grant mission, created by the Morrill Act passed by Congress in 1862 and 1890. Areas related to science technology in Global Food Security and Sustainable Food program will be emphasized. Students will actively participate in peer workshops to demonstrate critical thinking skills gained through programs.
",,,,2016-2017,,,,"['food', 'land']"
AGHR 1313,Ag and Human Resources (AGHR), Agricultural Science and Technology,"
Introduction to professions in agricultural sciences and technology. Importance of agriculture in the state, nation and world. Review of research developments; explorations of career and other opportunities and development of human resource skills needed in agriculture.
",,,,2016-2017,,,,['agri']
AGHR 3323,Ag and Human Resources (AGHR), Program Planning,"
The application of strategies appropriate for delivering agriculture and human resource concepts to varied audiences. This includes the use of media, materials and supplies; procedures for management, motivation and evaluation.Prerequisites: AGHR 1313.
",,,,2016-2017,,,,['agri']
AGHR 3793,Ag and Human Resources (AGHR), Cooperative Occupational Experience in Agriculture,"
Pre-baccalaureate work experience in the food and agriculture sciences commensurate with the student's academic emphasis.  Written report of activities consistent with program guidelines upon completion of experience.  A minimum of 100 clock hours of supervised work activities is required.
",,,,2016-2017,,,,"['agri', 'food']"
AGHR 3996,Ag and Human Resources (AGHR), Cooperative Occupational Experience in Agriculture,"
Pre-baccalaureate work experience in the food and agricultural sciences commensurate with the student's academic emphasis. Written report of activities consistent with program guidelines upon completion of experience. A minimum of 200 clock hours of supervised work activities are required.
",,,,2016-2017,,,,"['agri', 'food']"
AGHR 4413,Ag and Human Resources (AGHR), Special Topics,"
Study of a problem affecting some aspect of the food and agricultural science industry. Reports, discussion and major paper required.  Repeatable for up to 6 semester credit hours.
",,,,2016-2017,,,,"['agri', 'food']"
AGHR 5323,Ag and Human Resources (AGHR), Workshop in Food and Agricultural Sciences,"
Study of selected problems and issues in the food and agricultural sciences with emphasis on teacher and/or extension education programs. Analysis of contemporary educational needs. Selection and organization of course/program content, criteria and procedures for evaluation.
",,,,2016-2017,,,,"['agri', 'food']"
AGHR 5333,Ag and Human Resources (AGHR), Administration and Supervision of Agriculture and Human Resources,"
Development, organization, administration, and supervision of vocational agricultural education at the local, state, and national levels.
",,,,2016-2017,,,,['agri']
AGHR 5343,Ag and Human Resources (AGHR), Youth Leadership Development,"
Procedures of organizing and conducting agricultural programs and activities for developing leadership skills in youth.
",,,,2016-2017,,,,['agri']
AGHR 5353,Ag and Human Resources (AGHR), Technological Change,"
A study of advanced technological changes affecting the food and agricultural economy. Cultural and socioeconomic forces retarding and/or accelerating change. Processes of planning and implementing change.
",,,,2016-2017,,,,"['agri', 'food']"
AGHR 5373,Ag and Human Resources (AGHR), Seminar,"
Study of current legislative and research developments in the food and agricultural sciences. Readings, discussions and written reports focusing on application of developments in professional practice.
",,,,2016-2017,,,,"['agri', 'food']"
AGHR 5813,Ag and Human Resources (AGHR), Vocational Guidance and Counseling,"
Study of educational and occupational opportunities to assist youth in making career choices. Special attention is given to rural and limited resource youth. Techniques of individual and group counseling.
",,,,2016-2017,,,,[' rural ']
AGHR 5833,Ag and Human Resources (AGHR), Organization and Administration of Agricultural Extension Programs,"
Study of extension programming in agriculture and human sciences. Principles of developing objectives and program planning; coordination and procedures of teaching and evaluating. One week observation with a County Extension Agent required.
",,,,2016-2017,,,,['agri']
AGHR 5991,Ag and Human Resources (AGHR), Independent Study,"
Readings, research, and/or field placement focusing on pre-selected issues in the food and agricultural sciences.
",,,,2016-2017,,,,"['agri', 'food']"
AGHR 5992,Ag and Human Resources (AGHR), Independent Study,"
Readings, research, and/or field placement focusing on pre-selected issues in the food and agricultural sciences.
",,,,2016-2017,,,,"['agri', 'food']"
AGHR 5993,Ag and Human Resources (AGHR), Independent Study,"
Readings, research, and/or field placement focusing on pre-selected issues in the food and agricultural sciences.
",,,,2016-2017,,,,"['agri', 'food']"
AGEC 1233,Agricultural Economics (AGEC), Fundamentals of Agricultural Economics,"
Survey of the nature, organization, and operation of the agricultural industry: application of economic principles to production and to the marketing of farm-ranch food and fiber products: and investigation of institutions and government as they affect agriculture.
",,,,2016-2017,,,,"['agri', 'farm', ' fiber', 'food']"
AGEC 2213,Agricultural Economics (AGEC), Marketing Agricultural Products,"
Study of movement of food and fiber products from the production area to the final consumer. Focus on intermediaries, including transportation agents. Efficiency of performing marketing activities under conditions for perfect and imperfect markets will be emphasized.Prerequisites: AGEC 1233 or ECON 2113.
",,,,2016-2017,,,,"['agri', ' fiber', 'food']"
AGEC 2223,Agricultural Economics (AGEC), Food Distribution Systems,"
Study of the nature and functions of the various components of wholesale and retail food distribution. Facility locations, transportation, warehousing, quality control, inventory control, pricing, and other related topics.Prerequisites: AGEC 1233 or ECON 2123.
",,,,2016-2017,,,,['food']
AGEC 3203,Agricultural Economics (AGEC), World Food Seminar,"
Orientation and introduction to domestic and international food distribution employment opportunities. (Emphasis on providing a broader knowledge of careers in transportation, logistics, and distribution.)Prerequisites: AGEC 2213 and AGEC 2223 and ECON 2113.
",,,,2016-2017,,,,['food']
AGEC 3213,Agricultural Economics (AGEC), Agricultural Policy,"
Study of the development of agricultural and food policies and evaluation of policies impact on producers and consumers in domestic and international markets.Prerequisites: AGEC 2213.
",,,,2016-2017,,,,"['agri', 'food']"
