Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy,Keyword
AERO 212,AERO - Aerospace Engineering (AERO),Introduction to Aerothermodynamics,"
   Study of thermodynamic properties and processes, heat and work, first and second laws of thermodynamics, power and refrigeration ideal cycles, psychrometrics. Prerequisites: Grade of C or better in CHEM 107, CHEM 117; grade of C or better in AERO 201 and MATH 251, or registration therein.
",UG,Lecture,True,2016-2017,,,,[' refrigerat']
AFST 302,AFST - Africana Studies (AFST),Gateway Course,"
   Gateway to a series of courses offered for the minor in Africana Studies: explores topics such as Afrocentrism, postcolonial studies, black cultural studies, black feminist theory for a close study of issues among African and African diaspora populations in Africa, the United States, Caribbean, Europe and South America.
",UG,Lecture,False,2016-2017,,,,[' african diaspora ']
/HIST 344,AFST - Africana Studies (AFST),History of Africa to 1800,"
   Origins of humankind in Africa; development and spread of pastoralism, agriculture and iron-working; formation of states and empires; impact of Christianity and Islam; rise of international trade in gold, ivory and slaves; African diaspora. Prerequisite: Junior or senior classification. Cross Listing: HIST 344/AFST 344.
",UG,Lecture,False,2016-2017,,,,['agri']
/HIST 346,AFST - Africana Studies (AFST),History of South Africa,"
   Selected themes in the history of South Africa from the African Iron Age to the Apartheid regime; history of race relations in the 19th and 20th centuries and the rise of modern industrial state. Prerequisite: Junior or senior classification or approval of instructor. Cross Listing: HIST 346/AFST 346.
",UG,Lecture,False,2016-2017,,,,[' iron ']
/HIST 357,AFST - Africana Studies (AFST),Out of Africa: The Black Diaspora and the Modern World,"
   History and cultures of the peoples of the African Diaspora from the fourteenth through the nineteenth centuries; social, political, and economic impact on Africa, the Americas, Europe, and the Arab World; emphasis on race, gender, identity, and migration. Prerequisite: Junior or senior classification or approval of instructor. Cross Listing: HIST 357/AFST 357.
",UG,Lecture,False,2016-2017,,,,[' african diaspora ']
/HIST 302,AFST - Africana Studies (AFST),Women and War in the African Diaspora,"
   Case studies of women and war in the African diaspora in a wide historical and comparative context; social, economic, and cultural influence of war on women’s lives; women as victims, combatants, and refugees; historical construction of race, ethnic and gender identity during times of conflict. Prerequisite: Junior or senior classification. Cross Listing: HIST 302.
",UG,Lecture,False,2016-2017,,,,[' african diaspora ']
AFST 401,AFST - Africana Studies (AFST),Slavery in World History,"
   Comparative history of human slavery; slavery in the Ancient World, Asia, Africa; varieties of modern slavery in the New World since 1500; abolition of slavery and continuing forms of human bondage in the contemporary world. Prerequisite: Junior or senior classification. Cross Listing: ASIA 401 and HIST 401.
",UG,Lecture,False,2016-2017,,,,[' slavery ']
AGCJ 105,AGCJ - Ag Comm & Journalism (AGCJ),Introduction to Agricultural Communications,"
   Introduction to mass communication, its history, role in society, and especially its unique role in agriculture; importance of mass communication and the communication methods used in modern society; foundation for an understanding of agricultural news and information; credit cannot be given for both AGCJ 105 and JOUR 102.
",UG,Lecture,False,2016-2017,,,,['agri']
AGCJ 281,AGCJ - Ag Comm & Journalism (AGCJ),Journalism Concepts for Agriculture,"
   The role of the news media in covering government, the court systems, corporations, taxation, and insurance; a practical perspective on how journalists interact with public and private institutions from a legal, ethical and social standpoint. Prerequisite: AGCJ 105 or co-enrollment in AGCJ 105.
",UG,Lecture,False,2016-2017,,,,['agri']
AGCJ 285,AGCJ - Ag Comm & Journalism (AGCJ),Directed Studies,"
   Directed study of selected issue in field of agricultural communications with emphasis on collection, synthesis and interpretation of information. Prerequisite: Approval of department advisor.
",UG,Other,False,2016-2017,,,,['agri']
AGCJ 289,AGCJ - Ag Comm & Journalism (AGCJ),Special Topics in...,"
    Special topics in an identified area of agricultural development. May be repeated for credit. Prerequisite: Approval of department advisor.
",UG,Lecture,False,2016-2017,,,,['agri']
AGCJ 291,AGCJ - Ag Comm & Journalism (AGCJ),Research,"
   Research conducted under the direction of faculty member in agricultural communications and journalism. May be repeated 2 times for credit. Prerequisites: Freshman or sophomore classification and approval of department advisor.
",UG,Other,False,2016-2017,,,,['agri']
AGCJ 305,AGCJ - Ag Comm & Journalism (AGCJ),Theory and Practice of Agricultural Publishing,"
   Audience identification, publication content, management and design; analyze existing agricultural publications, identify audiences, advertising base and content; credit cannot be given for both AGCJ 305 and JOUR 321. Prerequisites: AGCJ 105; junior or senior classification.
",UG,Lecture,False,2016-2017,,,,['agri']
AGCJ 306,AGCJ - Ag Comm & Journalism (AGCJ),Theory and Practice of Agricultural Public Relations,"
    Public relations between agricultural producers and their suppliers as a critical part of agricultural communication; public relations objectives, strategies, tactics, evaluation and execution theory and practice examined; credit cannot be given for both AGCJ 306 and JOUR 324. Prerequisites: AGCJ 105; junior or senior classification.
",UG,Lecture,False,2016-2017,,,,['agri']
AGCJ 307,AGCJ - Ag Comm & Journalism (AGCJ),Design for Agricultural Media,"
   Principles and practices of agricultural media design, including design and production of printed publications and graphics; computer assisted design and production of media pieces. Required for AGCJ majors and minors. Prerequisite: Junior or senior classification.
",UG,Lecture,True,2016-2017,,,,['agri']
AGCJ 308,AGCJ - Ag Comm & Journalism (AGCJ),Agricultural Photography,"
   Develop knowledge of photography, editing software, and composition techniques used in the agricultural communications field; develop photography and photo editing skills to a satisfactory level as demonstrated by performance on assignments and exams. Prerequisite: Junior or senior classification.
",UG,Lecture,True,2016-2017,,,,['agri']
AGCJ 312,AGCJ - Ag Comm & Journalism (AGCJ),Editing for Agricultural Audiences,"
   Principles and practices of editing for agricultural and technical audiences including improving and tightening copy; writing headlines, titles, and subheads; photo editing and captions, graphics and layout; print, broadcast, Interactive and other media; credit cannot be given for both AGCJ 304 and JOUR 304. Prerequisites: AGCJ 105; junior or senior classification.
",UG,Lecture,True,2016-2017,,,,['agri']
AGCJ 313,AGCJ - Ag Comm & Journalism (AGCJ),Agricultural Media Writing I,"
   News gathering, writing, editing and ethics for current and emerging mediums used in agricultural communication; includes news identification, basic news writing methods, introduction to public relations, broadcast and Internet writing, interviewing skills, proper use of direct quotes and other news style, credit cannot be given for both AGCJ 312 and JOUR 203. Prerequisite: Grade of C or better in AGCJ 105 and AGCJ 313.
",UG,Lecture,True,2016-2017,,,,['agri']
AGCJ 314,AGCJ - Ag Comm & Journalism (AGCJ),Agricultural Media Writing II,"
   Interpretative agricultural news gathering and writing for all media types; basic media law and ethics, interviewing skills with assigned practice writing about agriculture, and science and technology, including meeting and event coverage both on and off campus; print, broadcast, Interactive and other media; credit cannot be given for both AGCJ 314 and JOUR 303. Grade of C or better in AGCJ 312; junior or senior classification.
",UG,Lecture,True,2016-2017,,,,['agri']
AGCJ 380,AGCJ - Ag Comm & Journalism (AGCJ),Workshop in Agricultural Communications and Journalism,"
   The study, understanding and solution of human-agricultural problems based on theory learned in the classroom, library, laboratory and fieldwork completed by individuals and teams. Prerequisite: Junior or senior classification.
",UG,Lecture,False,2016-2017,,,,['agri']
AGCJ 404,AGCJ - Ag Comm & Journalism (AGCJ),Communicating Agricultural Information to the Public,"
   Use of agricultural journalism principles and techniques to communicate scientific information related to agriculture, agribusiness, natural resources and life sciences to the general public; communication processes include audience identification, writing, editing and production of agricultural science-based manuscripts for popular and refereed publications. Prerequisite: Junior or senior classification.
",UG,Lecture,True,2016-2017,,,,['agri']
AGCJ 405,AGCJ - Ag Comm & Journalism (AGCJ),Agricultural Publications Production,"
   Study and practice of the principles and concepts of designing, writing, editing, producing and distributing the AgriLeader magazine and Web site; includes practical applications of writing feature articles, magazine and Web site design, advertising sales, layout and graphics. May be repeated one time for credit. Prerequisites: AGCJ 312, AGCJ 305; approval of instructor; junior or senior classification.
",UG,Lecture,True,2016-2017,,,,['agri']
AGCJ 406,AGCJ - Ag Comm & Journalism (AGCJ),Agricultural Public Relations Methods,"
   Agricultural public relations campaign analysis; public relations case studies and methods including writing public relations plans for agricultural entities, producing public relations components and evaluating public relations objectives, strategies and tactics. Prerequisites: AGCJ 306; junior or senior classification.
",UG,Lecture,True,2016-2017,,,,['agri']
AGCJ 407,AGCJ - Ag Comm & Journalism (AGCJ),Web Authoring in Agricultural Communication,"
   Study and practice of basic Web site design theories, principles and writing for the Web; use of Web authoring software (not a programming class) to create online publications tailored for agricultural audiences; emphasizes informative content and functional design. Prerequisites: AGCJ 307; junior or senior classification.
",UG,Lecture,True,2016-2017,,,,['agri']
