Department Name,Course Catalogue Number,Course Name,Description,Graduate/Undergraduate,Lab,Year,Keywords
"
	AGEC - Agricultural Economics
",AGEC 101,The Business of Agriculture,"This course is intended for first-year students majoring in Agribusiness or Agricultural Economics. An examination of current issues in agriculture and how economic and business principles can be used to analyze issues, and career opportunities in the discipline.",Undergraduate,FALSE,2016-2017,['agri']
"
	AGEC - Agricultural Economics
",AGEC 105,Survey of Agribusiness,"Introduction to agribusiness management and consumer economics in the free enterprise system. Incorporates a study of economic principles, budgeting, record keeping, finance, decision making, risk management, business law, marketing, and careers in agribusiness, and allows the student to develop and practice agribusiness sales competencies. Course will be offered for 1 credit in the Fall and 2 in the Spring.",Undergraduate,FALSE,2016-2017,['agri']
"
	AGEC - Agricultural Economics
",AGEC 278,Farm and Agribusiness Management,"Decision making and profit maximization using economic principles, records, enterprise analysis, and comparison of alternative farming practices. Three lec and one 2-hr lab a wk. Recommended Preparation: Econ 202.",Undergraduate,TRUE,2016-2017,['farm']
"
	AGEC - Agricultural Economics
",AGEC 289,Agricultural Markets and Prices,"Economics of agricultural markets and pricing institutions; analysis of supply, demand, elasticity, futures markets; institutional arrangements in food marketing. Recommended Preparation: Econ 202.",Undergraduate,FALSE,2016-2017,"['agri', 'food']"
"
	AGEC - Agricultural Economics
",AGEC 356,Agricultural and Rural Policy,"Goals, methods, results of economic programs and policies in agriculture, including role of governmental and farm organizations. Recommended Preparation: Econ 201 and 202.",Undergraduate,FALSE,2016-2017,"['agri', 'farm']"
"
	AGEC - Agricultural Economics
",AGEC 497,Teaching Ag Econ/Agribusiness,"Supervised class observation and course preparation, and an opportunity to present one or several lectures in specific agribusiness and agricultural economics areas. Incorporates learning and teaching methods applied in professional settings; may include advanced practices for competitions, field or lab activities, and client interactions. Max enrollment 5. Recommended preparation: senior standing. Prereq: Permission",Undergraduate,TRUE,2016-2017,['agri']
"
	AGEC - Agricultural Economics
",AGEC 506,Faculty Seminar Series,"Focus on current issues impacting agriculture, natural resources, and community development though seminars introducing research occurring in the department.",Graduate,FALSE,2016-2017,['agri']
"
	AGED - Agricultural Education
",AGED 160,Survey of the Expectations and Responsibilities of Teaching High School Agriculture,"This course is designed for high school students interested in pursuing a career in agricultural education and will serve as a bridge class between high school and collegiate level teacher education courses. The course will include an exploration of the professional qualities and expectations of the teacher/educator. Roles, responsibilities and challenges in the field of education, leadership, and communication will be examined.",Undergraduate,FALSE,2016-2017,['agri']
"
	AGED - Agricultural Education
",AGED 258,Experiential Learning and SAE Programs,"This course addresses the role of experiential learning in Agricultural Education programs. A sound understanding and application of these programs is essential to the success of the local program. The emphasis of the course will be to provide students with supervised experience in agriculture. Record keeping skills will be developed to assist the student in planning, decision-making, and reporting.",Undergraduate,FALSE,2016-2017,['agri']
"
	AGED - Agricultural Education
",AGED 407,Global Agricultural & Life Sciences Systems,"This course will introduce students to the history, culture, economy and agricultural systems of a selected foreign country emphasized through a planned short-term international field experience. Through study and travel to the select country, students will be exposed to the history of the country, important cultural sites, production agriculture field operations, agricultural business enterprises, and international agricultural markets. Students will participate in educational and pre-trip informational sessions along with post-trip debriefing, class discussions, completing reports and developing presentations for other CALS classes and clubs about their experience.",Undergraduate,FALSE,2016-2017,['agri']
"
	AGED - Agricultural Education
",AGED 564,Curriculum Development in Agricultural Education,"Design and development of data based curriculum and curriculum evaluation procedures in agricultural and extension education. Critique of curriculum development models, contemporary trends and issues, curriculum resources and accountability tools. Analysis of the use of national and state standards as well as local community needs in curriculum development",Graduate,FALSE,2016-2017,['agri']
"
	AGED - Agricultural Education
",AGED 565,Program Planning and Evaluation in Agricultural Education,"This course is designed to develop an understanding of Program Planning and Evaluation relevant to secondary agricultural education. Theories of program planning, evaluation principles, models, and procedures used in developing and analyzing agricultural education programs, conducting needs assessments, and the marketing of outcomes to major stake-holders",Graduate,FALSE,2016-2017,['agri']
"
	ANTH - Anthropology
",ANTH 220,Peoples of the World,"Gen Ed: Social Science, International Societies of Eurasia, Africa, Americas, Australia, and islands of the Pacific.",Undergraduate,FALSE,2016-2017,['land']
"
	ARCH - Architecture
",ARCH 151,Introduction to the Built Environment,"May not be taken for credit after LArc 151. Introduction to the complexities and wonders of the built environment, and the role of the humanities in successful designs. From the regional landscapes to urban design and architecture, to the intimacy of interiors and dwellings, to place making and space making, student perspectives are broadened on how the built environment is shaped by and contributes to an evolving human story. The built environment is also examined as a product of a multitude of forces that include: place, climate, conservation, culture, economics, beliefs, and aspirations for well-being.",Undergraduate,FALSE,2016-2017,['land']
"
	ASM - Agricultural Systems Mgt
",ASM 105,Survey of Agricultural Mechanics,"This course is designed to introduce the student to the principles of technology in agriculture. It includes the development of knowledge and skills pertaining to agricultural mechanics, welding, power technology, electricity, and structures. It will provide introductory learning experiences for students in the areas of agricultural systems management.",Undergraduate,FALSE,2016-2017,['agri']
"
	ASM - Agricultural Systems Mgt
",ASM 112,Introduction to Agricultural Systems Management,"Application of basic engineering principles to solving problems dealing with farm machinery, buildings, processing, irrigation, and energy use. Recommended Preparation: high school algebra.",Undergraduate,FALSE,2016-2017,"['farm', ' irrigat']"
"
	ASM - Agricultural Systems Mgt
",ASM 202,Agricultural Shop Practices,"Primarily for agricultural mechanization and agricultural education students. Operation, use, and care of shop tools and equipment. One lec and one 3-hr lab a wk.",Undergraduate,TRUE,2016-2017,['agri']
"
	ASM - Agricultural Systems Mgt
",ASM 305,GPS and Precision Agriculture," This course will cover the fundamentals of global positioning, yield monitors, and variable rate applications. Instrumentation used in agriculture, environmental science, and industry will be discussed. Two Lec. and one 3-hr lab a wk. Cooperative: open to WSU degree-seeking students.",Undergraduate,TRUE,2016-2017,['agri']
"
	ASM - Agricultural Systems Mgt
",ASM 409,"Agricultural Tractors, Power Units and Machinery Management"," This course focuses on the selection, operation, adjustment, and servicing of farm tractors and power units. Fuels, lubrication, cooling, and electrical systems will also be covered. Machinery operation, power transmission systems, hitching, traction, and safety are also discussed. The course will conclude with discussions on depreciation and machinery replacement. Three 1-hr lec and one 3-hr lab a week.",Undergraduate,TRUE,2016-2017,"['farm', ' tractor']"
