Department Name,Course Catalogue Number,Course Name,Description,Graduate/Undergraduate,Lab,Year,Keywords
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 2156,Introduction to Environmental Law," Major environmental laws dealing with water, air, noise, endangered species, waste disposal, and land use",Undergraduate,FALSE,2016-2017,['land']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 2183,The Agricultural Marketing System,Examines functions and institutions in marketing and distributing food from both micro and macro perspectives,Undergraduate,FALSE,2016-2017,['food']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 3256,Agribusiness and Biotechnology Law," To include contracts, torts, product liability, warranties, corporate farming laws, UCC, corporations/partnerships/limited liability companies, labor laws, patent copyrights/trademark laws, international and ethical perspectives",Undergraduate,TRUE,2016-2017,['farm']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 3282,Agribusiness Finance,Special attention is given to the working capital needs of agribusiness and to the specialized lending institutions in the agricultural economy,Undergraduate,FALSE,2016-2017,['agri']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 4251,Agricultural Prices,Variations in prices of agricultural products; underlying factors,Undergraduate,FALSE,2016-2017,['agri']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 4340,Rural Real Estate Appraisal," Principles, techniques, practices of rural real estate appraisal",Undergraduate,FALSE,2016-2017,[' rural ']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 4962,Planning the Farm Business,Economic analysis and planning of the farm business and its organization,Undergraduate,FALSE,2016-2017,['farm']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 4971,Agribusiness Management Strategy,Analysis of industry forces in agriculture and food sector,Undergraduate,FALSE,2016-2017,"['agri', 'food']"
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 4972,Agri-Food Business and Cooperative Management," Risk management in the global agrifood chain, including managing the unique uncertainties of biological production processes, global market analysis, and government intervention, of risk management tools and institutions unique to strategic decision making in agribusiness and cooperative firms",Undergraduate,FALSE,2016-2017,"['agri', 'food']"
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 4995,Economics of Agricultural Production and Distribution," Applies economic principles to agricultural production including price theory, linear programming and uncertainty",Undergraduate,FALSE,2016-2017,['agri']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 7110,In-Service Course in Agricultural Economics," Applies economic principles to agricultural production including price theory, linear programming and uncertainty",Graduate,FALSE,2016-2017,['agri']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 7251,Agricultural Prices,Variations in prices of agricultural products; underlying factors,Graduate,FALSE,2016-2017,['agri']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 7340,Rural Real Estate Appraisal," Principles, techniques, practices of rural real estate appraisal",Graduate,FALSE,2016-2017,[' rural ']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 7962,Planning the Farm Business,Economic analysis and planning of the farm business and its organization,Graduate,FALSE,2016-2017,['farm']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 7971,Agribusiness Management Strategy,Analysis of industry forces in agriculture and food sector,Graduate,FALSE,2016-2017,"['agri', 'food']"
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 7972,Agri-Food Business and Cooperative Management," Risk management in the global agrifood chain, including managing the unique uncertainties of biological production processes, global market analysis, and government intervention, of risk management tools and institutions unique to strategic decision making in agribusiness and cooperative firms",Graduate,FALSE,2016-2017,"['agri', 'food']"
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 8001,Advanced Topics in Economics,Current agricultural economic problems,Graduate,FALSE,2016-2017,['agri']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 8210,Theory of Markets," Market structure influence on price, nonprice competition in buying, selling of farm products and inputs",Graduate,FALSE,2016-2017,['farm']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 8610,Economic and Sociological Approaches to Collective Action,"  This course identifies analytical and methodological tools, including rational choice and social capital, to deal with practical problems of collective action in: agricultural cooperatives, rural community development, political interest groups and other mutuals",Graduate,FALSE,2016-2017,"['agri', ' rural ']"
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 8860,International Comparative Rural Policy,"  Compares the rural policy objectives and implementation  strategies of various countries, and assesses these policies in terms of economic, social, environmental outcomes and their implications for international relations",Graduate,FALSE,2016-2017,[' rural ']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 9001,Advanced Topics in Economics II,Current agricultural economic problems,Graduate,FALSE,2016-2017,['agri']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 9042,Advanced Microeconomics Theory and Applications II," Includes applications of micro models to issues in agricultural, natural resource, and development sectors",Graduate,FALSE,2016-2017,['agri']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 9085,Doctoral Problems in Agricultural Economics," Includes applications of micro models to issues in agricultural, natural resource, and development sectors",Graduate,FALSE,2016-2017,['agri']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 9090,Doctoral Dissertation Research in Agricultural Economics," Includes applications of micro models to issues in agricultural, natural resource, and development sectors",Graduate,FALSE,2016-2017,['agri']
"Course Offerings

Agricultural Economics (AG_EC)

",AG_EC 9520,Economics of Agribusiness Markets," Internal coordination and structure, organizational boundaries, and competitiveness and sustainability of food system organizations",Graduate,FALSE,2016-2017,['food']
