Department Name,Course Catalogue Number,Course Name,Description,Graduate/Undergraduate,Lab,Year,Keywords
"
				Advertising and Public Relations (ADPR)
			",ADPR207,Communicating to Public Audiences,"Description: Concepts and techniques of public relations. Skills and theory for relating to government, corporate, and other agricultural public audiences.",Undergraduate,FALSE,2020-2021,['agri']
"
				Advertising and Public Relations (ADPR)
			",ADPR417,Issues Management and Crisis Communications in Agriculture,Description: Fundamental components of issues management and crisis communications. Learning experiences in agriculture and natural resources that provide an understanding of issues facing the respective field of study.,Undergraduate,FALSE,2020-2021,['agri']
"
				Advertising and Public Relations (ADPR)
			",ADPR434,Digital Insight & Analytics,"Description: A study of the digital communication landscape. Course explores how various channels of digital communication can be used to analyze audiences, connect with them and ultimately build brands.",Undergraduate,FALSE,2020-2021,['land']
"
				Advertising and Public Relations (ADPR)
			",ADPR466,Social Media Theory and Practice,"Description: Key theories related to the study of social media, important social media monitoring and management practices, and advertising/PR opportunities on the most popular social and mobile media platforms.",Undergraduate,FALSE,2020-2021,['management practice']
"
				Agricultural Economics (AECN)
			",AECN141,Introduction to the Economics of Agriculture,"Description: Introductory course on the basic principles of agricultural economics. Production economics, principles of supply and demand, resource economics, world food situation, marketing of agricultural products, and agricultural public policy.",Undergraduate,FALSE,2020-2021,"['agri', 'food']"
"
				Agricultural Economics (AECN)
			",AECN201,Farm and Ranch Management,"Description: Various economic principles and business management concepts which are involved in the decision-making process when organizing and operating a farming/ranching operation. Includes production economics, record keeping systems, financial budgets and analysis, crop and livestock enterprise analysis, leasing arrangements, depreciation, farm business organizations, farm investment analysis, pasture/rangeland management, and production efficiency indicators.",Undergraduate,FALSE,2020-2021,"['crop', 'farm', 'land', ' livestock ', ' pasture']"
"
				Agricultural Economics (AECN)
			",AECN220,International Agricultural Trade,Description: Introduction to the foundational concepts and applications of international trade with a strong focus on agriculture and food markets. Establish basic literacy in international trade with applications to agricultural commodity and affiliated markets and policy issues such as tariff-rate quotas and phytosanitary regulations unique to agriculture.,Undergraduate,FALSE,2020-2021,"['agri', 'food']"
"
				Agricultural Economics (AECN)
			",AECN225,Agribusiness Entrepreneurship in Food Products Marketing,"Description: Marketing strategies and entrepreneurship ventures throughout a food systems channel from producers of agricultural commodities to processors of food products and the final consumer.  Entrepreneurship studies dealing with food processors, wholesaling, retailing and food service firms.  Create strategic marketing plan to introduce a new food product into a retail consumer market.",Undergraduate,FALSE,2020-2021,"['agri', 'food']"
"
				Agricultural Economics (AECN)
			",AECN256,Legal Aspects in Agriculture,"Description: Legal aspects of agriculture: taxation, contracts, property rights, buying and selling real estate, condemnation, land use regulations, leases, co-ownership, partnerships, corporations, commercial transactions, credit, liability, insurance, estate planning, water law, and agricultural regulations. A practical exposure to the legal institutions of Nebraska.",Undergraduate,FALSE,2020-2021,"['agri', 'land']"
"
				Agricultural Economics (AECN)
			",AECN275,Agribusiness Entrepreneurial Finance,Description: Overview of financial issues for agribusiness start-ups. Business funding specific to new enterprises. Case studies on financial practices for start-up firms.,Undergraduate,FALSE,2020-2021,['agri']
"
				Agricultural Economics (AECN)
			",AECN276,Rural Sociology,Description: The rural environment and its people; its groups and associations; and its social institutions.,Undergraduate,FALSE,2020-2021,[' rural ']
"
				Agricultural Economics (AECN)
			",AECN301,"Farm Accounting, Analysis, and Tax Management",Description: Business record systems for farming and ranching. Financial statements; income tax and decision making; farm business and enterprise analysis.,Undergraduate,FALSE,2020-2021,"['farm', ' ranch']"
"
				Agricultural Economics (AECN)
			",AECN316,Agribusiness Management,"Description: For students interested in careers leading to managerial positions in the grain, feed, fertilizer, farm petroleum and related agricultural industries.  The focus is on the use of financial statements, operating and managerial functions, communication, and the inter-personal work environment within an organization.  Presentation is by lecture integrated with experiential learning through use of an agribusiness management simulation.",Undergraduate,FALSE,2020-2021,"['agri', 'farm', ' fertilize', ' grain']"
