Department Name,Course Catalogue Number,Course Name,Description,Graduate/Undergraduate,Lab,Year,Keywords
Analytics (DATA),DATA 557,- Introduction to Data Science and Analytics,"An introduction to data science and analytics. The landscape of analytics, including an overview of industries and sectors using analytics or expected to use analytics in the near future. Data generation, data management, data cleaning, and data preparation. Ethical use of data. Focus on visual and exploratory analysis. Project-based, with an emphasis on collaborative, experiential learning. Programming and statistical software will be used, but previous experience is not required.",Undergraduate,TRUE,2020-2021,['land']
Animal Sciences (ANSC),ANSC 401,- Animals and Society,"Through an interdisciplinary and historical lens, students delve into the interaction and interdependence of animals and people, the changes and patterns over time, and the resulting implications for the animal industry and the quality of life for animals, people, and the planet. Topics covered include agricultural production, organic farming, sustainability, global agriculture, Community Supported Agriculture (CSAs), research, nutrition, food safety, genetics, animal health, aquaculture, animal welfare, breeding, recreation, companionship, and the reproduction of domestic animals. What are the major changes in meat consumption by humans? What is the effect of these changes on the environment and large and small farm operations? What are the effects of biotechnological research performed on animals for human benefits? What is the difference between animal welfare and animal rights? Why should we care? In what ways does this affect us?.",Undergraduate,FALSE,2020-2021,"['agri', ' animal', ' aquaculture', 'breed', 'farm', 'food', ' meat', ' nutri']"
Animal Sciences (ANSC),ANSC 406,- Careers in Animal Science,Survey of various areas of animal and veterinary science and opportunities available. Cr/F.,Undergraduate,TRUE,2020-2021,[' animal']
Animal Sciences (ANSC),ANSC 421,- Introduction to Animal Science,"This course provides an overview of the scope and diversity of animal agriculture at the global, national and local levels. It also provides an introduction to the animal sciences through which students 1) learn basic animal science terminology 2) acquire an appreciation of the objectives of various animal enterprises and 3) gain understanding of contemporary trends, challenges and opportunities within animal agriculture. Special fee.",Undergraduate,FALSE,2020-2021,"['agri', ' animal']"
Animal Sciences (ANSC),ANSC 437,- Equine Husbandry Techniques,"Course familiarizes students with different aspects of equine management through a practical and hands-on approach. Topics include selection, fit and care of English tack, bits, grooming, clipping, wound care, safe bandaging techniques, equine behavior, farm layout, basic health care and monitoring, parasite control, and equine transportation. Students will have hands-on experience in the UNH stable. Responsibilities include feeding, cleaning, turnout, and basic care of the University herd. Special Fee.",Undergraduate,FALSE,2020-2021,['farm']
Animal Sciences (ANSC),ANSC 504,- Equine Physiology,"A fundamental equine science course including anatomy, sports medicine, nutrition and preventative care. Students present oral and written journal reviews on equine science topics pertinent to lecture. Prereq: ",Undergraduate,FALSE,2020-2021,[' nutri']
Animal Sciences (ANSC),ANSC 510,"- Integration of Culture and Agriculture in Ireland: Past, Present, and Future ","What was the worst natural disaster in 19th century Europe? What characterizes Ireland's agriculture in the 21st century? In this interdisciplinary course, students examine the cultural, historical, political, economical, and religious influences on Ireland's agriculture, fisheries, and forestry.  The crowning experience of the course, a 10-day study abroad in late May, provides students with a window to the world as they experience the culture, agriculture, and topography of Ireland.  Students will immerse themselves in local history and culture as they tour working agricultural farms, university research facilities, and cultural landmarks. Permission required.  Not open to freshmen. Special fee. Writing intensive.   2 or 4 credits.",Undergraduate,FALSE,2020-2021,"['agri', 'farm', ' fish', 'land']"
Animal Sciences (ANSC),ANSC 511,- Anatomy and Physiology,"Discussion/comparison of the principles of mammalian form and function. Includes molecular and cellular mechanisms of major processes (such as muscle contraction, neural transmission, and signal transduction) and systematic aspects of the nervous, endocrine, cardiovascular, respiratory, gastrointestinal, and renal systems. Prereq: ",Undergraduate,FALSE,2020-2021,['gastro']
Animal Sciences (ANSC),ANSC 512,- Anatomy and Physiology,"Discussion/comparison of the principles of mammalian form and function. Includes molecular and cellular mechanisms of major processes (such as muscle contraction, neural transmission, and signal transduction) and systematic aspects of the nervous, endocrine, cardiovasular, respiratory, gastronintestinal, and renal systems.  Prereq: ",Undergraduate,FALSE,2020-2021,['gastro']
Animal Sciences (ANSC),ANSC 543,- Technical Writing in Animal Sciences,Emphasis on writing scientific articles and articles for the end user on subjects pertaining to the animal science industry. Students are expected to make several oral presentations. Resume preparation is also included. Prereq:,Undergraduate,FALSE,2020-2021,[' animal']
Animal Sciences (ANSC),ANSC 546,- Animal Business Applications,"Survey of the various elements of managing an animal and/or agricultural operation regardless of commodity. Topics include: financial statements, credit and interest, insurance considerations, labor management, marketing, promotions, advertising, and sales.",Undergraduate,TRUE,2020-2021,"['agri', ' animal']"
Animal Sciences (ANSC),ANSC 547,- Equine Stable Management,"Students learn how to make equine management decisions based upon science and business principles. Topics covered include evaluating health parameters, hoof care, vaccination and parasite control, nutrition, accurate record keeping and housing. Students monitor horse health, vaccinate, pull shoes and do fecal exams using the University herd. Business topics include; the importance of contracts, efficient staffing, stable/arena design for function. Field trips highlight different sized equine enterprises. Prereq: ",Undergraduate,FALSE,2020-2021,[' nutri']
Animal Sciences (ANSC),ANSC 548,- Agricultural Business Management,"This course is designed to give students an opportunity to focus on the agricultural industry relative to specific, operational concepts such as small business start-up, creating a business plan, funding strategies, business development including SWOT analysis, market analysis, branding, product placement and pricing strategy, advertising and using social media, employee hiring and management, supply chain management and analyzing financial statements. An examination of sustainable and socially and environmentally responsible business practices will also be included. The course involves lecture and field study allowing students to examine similar agricultural operations in order to enhance practical understanding of topics covered.",Undergraduate,FALSE,2020-2021,['agri']
Animal Sciences (ANSC),ANSC 602,- Animal Rights and Societal Issues," To explore all aspects of human-animal interaction and welfare, emphasizing social, ethical, biological, historical and economic aspects of animal care and use. (Juniors and seniors only.) Special fee. Writing intensive.",Undergraduate,FALSE,2020-2021,[' animal']
Animal Sciences (ANSC),ANSC 603,- Introduction to Livestock Management,"This course explores the economic, scientific, and practical aspects of livestock management in New England, related to swine, beef, cattle, sheep, goats, and rabbits. This will include breed selection, feeding, reproduction, health, and housing systems. Product harvesting and food safety regulations related to sales and marketing are explored. Students will also be required to manage and care for a flock of sheep at UNH as part of their weekly laboratory exercises. Prereq: ",Undergraduate,TRUE,2020-2021,"[' beef', 'breed', ' cattle', 'food', ' goat', 'harvest', 'land', ' livestock ', ' rabbit', ' sheep ', ' swine']"
